respondent_id,h1n1_vaccine,seasonal_vaccine,xyz_vaccine
26707,0.5,0.2717708,0.11669583
26708,0.5,0.038113847,0.035216205
26709,0.5,0.7339759,0.20846818
26710,0.5,0.8775231,0.68143207
26711,0.5,0.45237175,0.32146895
26712,0.5,0.96974504,0.8427786
26713,0.5,0.5748965,0.23770663
26714,0.5,0.14201677,0.16346422
26715,0.5,0.09870451,0.025581434
26716,0.5,0.8977637,0.22649054
26717,0.5,0.3505668,0.012750842
26718,0.5,0.5468286,0.3667755
26719,0.5,0.9173786,0.1010227
26720,0.5,0.22917464,0.022577938
26721,0.5,0.3634337,0.38453546
26722,0.5,0.11874497,0.10193277
26723,0.5,0.92057,0.8342254
26724,0.5,0.75349563,0.023730284
26725,0.5,0.051667433,0.010832266
26726,0.5,0.06362048,0.041112896
26727,0.5,0.8903637,0.4697697
26728,0.5,0.55639875,0.24712445
26729,0.5,0.7651604,0.19085121
26730,0.5,0.16239102,0.03616516
26731,0.5,0.24180934,0.03103591
26732,0.5,0.13071871,0.092158794
26733,0.5,0.9594866,0.9491943
26734,0.5,0.39590612,0.8034404
26735,0.5,0.3676248,0.082044244
26736,0.5,0.16697466,0.06850899
26737,0.5,0.09978356,0.06785383
26738,0.5,0.8846455,0.80364585
26739,0.5,0.24934642,0.12742919
26740,0.5,0.105275035,0.14714779
26741,0.5,0.88475114,0.053904172
26742,0.5,0.37617305,0.116617985
26743,0.5,0.47823045,0.05318984
26744,0.5,0.70948523,0.035234194
26745,0.5,0.846583,0.05610295
26746,0.5,0.32930812,0.18825962
26747,0.5,0.20068125,0.04477319
26748,0.5,0.061063007,0.04753889
26749,0.5,0.6367944,0.086015135
26750,0.5,0.86034226,0.37579772
26751,0.5,0.7861054,0.5508463
26752,0.5,0.06994098,0.06411255
26753,0.5,0.6486431,0.30551973
26754,0.5,0.50132245,0.16184892
26755,0.5,0.4023903,0.136277
26756,0.5,0.035649918,0.023128852
26757,0.5,0.5002778,0.23830466
26758,0.5,0.846465,0.50149685
26759,0.5,0.15131006,0.018581212
26760,0.5,0.06435378,0.028253954
26761,0.5,0.7431895,0.42902574
26762,0.5,0.81322354,0.17228772
26763,0.5,0.96778995,0.9011342
26764,0.5,0.96595085,0.9591761
26765,0.5,0.6902167,0.058613125
26766,0.5,0.16025965,0.13948444
26767,0.5,0.76713765,0.89488
26768,0.5,0.36056376,0.022640234
26769,0.5,0.13719866,0.07089814
26770,0.5,0.4904108,0.039645746
26771,0.5,0.13651627,0.020403448
26772,0.5,0.48083633,0.06219721
26773,0.5,0.28514168,0.033514895
26774,0.5,0.30552453,0.02570608
26775,0.5,0.45022395,0.029213892
26776,0.5,0.41895133,0.3362476
26777,0.5,0.9260359,0.09490042
26778,0.5,0.07228969,0.10946164
26779,0.5,0.5766244,0.18291186
26780,0.5,0.909726,0.05252192
26781,0.5,0.41317362,0.041347437
26782,0.5,0.2994978,0.05965466
26783,0.5,0.2589961,0.026378391
26784,0.5,0.8257921,0.072593376
26785,0.5,0.6614986,0.509518
26786,0.5,0.2009901,0.04236447
26787,0.5,0.5546877,0.053604443
26788,0.5,0.8919112,0.040850647
26789,0.5,0.19449711,0.020006051
26790,0.5,0.20244835,0.021064429
26791,0.5,0.117229775,0.06000314
26792,0.5,0.724571,0.07319462
26793,0.5,0.9342013,0.14185612
26794,0.5,0.8441207,0.5998725
26795,0.5,0.96508694,0.10200817
26796,0.5,0.04512312,0.031905778
26797,0.5,0.7344175,0.14374235
26798,0.5,0.17982805,0.2933096
26799,0.5,0.27950826,0.27764827
26800,0.5,0.94024014,0.060597852
26801,0.5,0.3336476,0.24083333
26802,0.5,0.19434917,0.11655475
26803,0.5,0.13834769,0.0344428
26804,0.5,0.08176917,0.037846707
26805,0.5,0.1525959,0.050993398
26806,0.5,0.9179457,0.02522152
26807,0.5,0.8724228,0.3424146
26808,0.5,0.38795248,0.046414535
26809,0.5,0.15750894,0.57933575
26810,0.5,0.101566926,0.051461533
26811,0.5,0.054374427,0.023895612
26812,0.5,0.87108505,0.2447232
26813,0.5,0.40285107,0.59983164
26814,0.5,0.61797565,0.018689234
26815,0.5,0.052886628,0.014654743
26816,0.5,0.13087498,0.0559263
26817,0.5,0.541099,0.024985239
26818,0.5,0.25449407,0.13952899
26819,0.5,0.21763195,0.21682301
26820,0.5,0.19157554,0.061885566
26821,0.5,0.594948,0.037102
26822,0.5,0.6605102,0.07278115
26823,0.5,0.33948588,0.29371762
26824,0.5,0.7058549,0.021638276
26825,0.5,0.7114604,0.45652518
26826,0.5,0.62235606,0.040724926
26827,0.5,0.10345643,0.025036639
26828,0.5,0.4519242,0.061256185
26829,0.5,0.93471354,0.8527499
26830,0.5,0.76734895,0.01890914
26831,0.5,0.8759781,0.14280209
26832,0.5,0.7374123,0.038168862
26833,0.5,0.4866748,0.025865715
26834,0.5,0.52469325,0.15735792
26835,0.5,0.8948306,0.3080813
26836,0.5,0.7213716,0.23072073
26837,0.5,0.038890205,0.08500824
26838,0.5,0.43844312,0.11365108
26839,0.5,0.39592826,0.0629438
26840,0.5,0.121949084,0.07609025
26841,0.5,0.8200689,0.62330705
26842,0.5,0.17083624,0.07341083
26843,0.5,0.045512725,0.03284557
26844,0.5,0.33963004,0.028008724
26845,0.5,0.69408953,0.027924025
26846,0.5,0.825472,0.032866567
26847,0.5,0.14813085,0.34491277
26848,0.5,0.73722845,0.020627115
26849,0.5,0.67273223,0.4422695
26850,0.5,0.5742789,0.66750276
26851,0.5,0.060623806,0.030315405
26852,0.5,0.06444035,0.046052407
26853,0.5,0.47492427,0.33154088
26854,0.5,0.0761591,0.013774918
26855,0.5,0.82883644,0.34111813
26856,0.5,0.0412988,0.05380287
